"title","level","service","category","description","id"
"Correct Execution of Nltest.exe","high",,,,"83c2f19e-f588-1826-fc7d-cf7f4db7031a"
"Persistence and Execution at Scale via GPO Scheduled Task","high",,,,"01628b51-85e1-4088-9432-a11cba9f3ebd"
"Startup/Logon Script Added to Group Policy Object","medium",,,,"bc613d09-5a80-cad3-6f65-c5020f960511"
"SMB Create Remote File Admin Share","high",,,,"37f5d188-182d-7a53-dca7-4bebbb6ce43e"
"DCOM InternetExplorer.Application Iertutil DLL Hijack - Security","high",,,,"85e72fe3-83af-8ed9-39d3-2883e46059f1"
"Windows Network Access Suspicious desktop.ini Action","medium",,,,"192d9d70-11ad-70e5-9d6c-d32a1ec74857"
"Remote Service Activity via SVCCTL Named Pipe","medium",,,,"9a0e08fc-d50e-2539-9da0-f2b04439c414"
"Suspicious PsExec Execution","high",,,,"426009da-814c-c1c0-cf41-6631c9ff6a8e"
"Impacket PsExec Execution","high",,,,"24e370e0-b9f0-5851-0261-f984742ff2a1"
"T1047 Wmiprvse Wbemcomn DLL Hijack","high",,,,"f252afa3-fe83-562c-01c0-1334f55af84c"
"Transferring Files with Credential Data via Network Shares","medium",,,,"73d3720b-e4f3-d7e1-2a3f-8ca0a5e1fc1b"
"Remote Task Creation via ATSVC Named Pipe","medium",,,,"93fd0f77-62da-26fb-3e96-71cde45a9680"
"Suspicious Access to Sensitive File Extensions","medium",,,,"4af39497-9655-9586-817d-94f0df38913f"
"Persistence and Execution at Scale via GPO Scheduled Task","high",,,,"01628b51-85e1-4088-9432-a11cba9f3ebd"
"Possible PetitPotam Coerce Authentication Attempt","high",,,,"bcc12e55-1578-5174-2a47-98a6211a1c6c"
"Possible Impacket SecretDump Remote Activity","high",,,,"677980bc-7dcc-1f9a-e161-a7f310ec9652"
"Protected Storage Service Access","high",,,,"7695295d-281f-23ce-d52e-8336ebd47532"
"First Time Seen Remote Named Pipe","high",,,,"308a3356-4624-7c95-24df-cf5a02e5eb56"
"DCERPC SMB Spoolss Named Pipe","medium",,,,"d415c82b-814d-5cdc-c2f2-a138115b878e"
"Startup/Logon Script Added to Group Policy Object","medium",,,,"bc613d09-5a80-cad3-6f65-c5020f960511"
"CVE-2021-1675 Print Spooler Exploitation IPC Access","critical",,,,"52b5923e-1ef2-aaad-5513-3c830f3c5850"
"Remote Registry Management Using Reg Utility","medium",,,,"e9f405d3-e7ea-9adf-2f31-9ab2a7a90f5a"
"NetShare File Access","informational",,,,"8c6ec2b2-8dad-4996-9aba-d659afc1b919"
"Windows Defender Exclusion Deleted","medium",,,,"7bd85790-c82a-56af-7127-f257e5ef6c6f"
"Windows Defender Exclusion Deleted","medium",,,,"7bd85790-c82a-56af-7127-f257e5ef6c6f"
"ETW Logging Disabled In .NET Processes - Registry","high",,,,"107a403c-5a05-2568-95a7-a7329d714440"
"Windows Defender Exclusion List Modified","medium",,,,"8948f034-2d45-47bc-c04b-14ab124247f3"
"NetNTLM Downgrade Attack","high",,,,"68f0908b-8434-9199-f0a3-350c27ac97c4"
"Potential KamiKakaBot Activity - Winlogon Shell Persistence","high",,,,"396c509f-60dd-659f-6cd4-7e6e45322d5e"
"Kapeka Backdoor Configuration Persistence","medium",,,,"48e70678-2188-d6d9-11d7-598823558254"
"Kapeka Backdoor Autorun Persistence","high",,,,"4f676138-05ac-facf-8305-99c355044751"
"Potential Raspberry Robin Registry Set Internet Settings ZoneMap","low",,,,"e46b4e96-6396-bb54-0d11-e1aada87c21e"
